,Collection,BrandLine,StyleCode,GridValue,Style,Region,Size,Color,Demand,Color_Base,Color_Finish,Is_Multicolor,OpticalOrSun,BrandName,Brand_Tier,Lookalike_ID,Date,Glasses,Sunglasses,Glasses_3m_avg,Sunglasses_3m_avg,Glasses_pct_change,Sunglasses_pct_change,Trend_acetate_frame_glasses,Trend_Calvin_Klein_frames,Trend_FSA_glasses,Trend_metal_frame_glasses,Trend_Lacoste_frames,Trend_Nike_frames,Shape,FrameType,Material,is_summer,is_holiday_season,is_insurance_reset,4m_demand
11056,LA,LACOSTE OPTICAL,L3804B,5116467,L3804B/51/MID BLUE M,EMEA,51,MID BLUE M,57.0,blue,shiny,0.0,Optical,Lacoste,Premium,Lacoste_blue_L3804B,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,172.0
11057,LA,LACOSTE OPTICAL,L3804B,5116467,L3804B/51/MID BLUE M,EMEA,51,MID BLUE M,48.0,blue,shiny,0.0,Optical,Lacoste,Premium,Lacoste_blue_L3804B,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,166.0
11058,LA,LACOSTE OPTICAL,L3804B,5116467,L3804B/51/MID BLUE M,EMEA,51,MID BLUE M,41.0,blue,shiny,0.0,Optical,Lacoste,Premium,Lacoste_blue_L3804B,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,171.0
11059,LA,LACOSTE OPTICAL,L3804B,5116467,L3804B/51/MID BLUE M,EMEA,51,MID BLUE M,33.0,blue,shiny,0.0,Optical,Lacoste,Premium,Lacoste_blue_L3804B,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,166.0
11064,LA,LACOSTE OPTICAL,L3804B,5116970,L3804B/51/MATTE CRYS,EMEA,51,MATTE CRYS,0.0,crystal,matte,0.0,Optical,Lacoste,Premium,Lacoste_crystal_L3804B,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,0.0
11065,LA,LACOSTE OPTICAL,L3804B,5116970,L3804B/51/MATTE CRYS,EMEA,51,MATTE CRYS,0.0,crystal,matte,0.0,Optical,Lacoste,Premium,Lacoste_crystal_L3804B,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,0.0
11066,LA,LACOSTE OPTICAL,L3804B,5116970,L3804B/51/MATTE CRYS,EMEA,51,MATTE CRYS,0.0,crystal,matte,0.0,Optical,Lacoste,Premium,Lacoste_crystal_L3804B,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,13.0
11067,LA,LACOSTE OPTICAL,L3804B,5116970,L3804B/51/MATTE CRYS,EMEA,51,MATTE CRYS,0.0,crystal,matte,0.0,Optical,Lacoste,Premium,Lacoste_crystal_L3804B,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,32.0
11068,LA,LACOSTE OPTICAL,L3804B,5116970,L3804B/51/MATTE CRYS,EMEA,51,MATTE CRYS,0.0,crystal,matte,0.0,Optical,Lacoste,Premium,Lacoste_crystal_L3804B,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,43.0
11069,LA,LACOSTE OPTICAL,L3804B,5116970,L3804B/51/MATTE CRYS,EMEA,51,MATTE CRYS,0.0,crystal,matte,0.0,Optical,Lacoste,Premium,Lacoste_crystal_L3804B,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,58.0
11070,LA,LACOSTE OPTICAL,L3804B,5116970,L3804B/51/MATTE CRYS,EMEA,51,MATTE CRYS,13.0,crystal,matte,0.0,Optical,Lacoste,Premium,Lacoste_crystal_L3804B,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,59.0
11071,LA,LACOSTE OPTICAL,L3804B,5116970,L3804B/51/MATTE CRYS,EMEA,51,MATTE CRYS,19.0,crystal,matte,0.0,Optical,Lacoste,Premium,Lacoste_crystal_L3804B,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,46.0
11076,KO,NIKE OPTICAL,NIKE 7173,5118001,NIKE 7173/51/BLACK,EMEA,51,BLACK,0.0,black,shiny,0.0,Optical,Nike,Sport,Nike_black_NK7173,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Cat-Eye,Full,Plastic,0,0,0,8.0
11077,KO,NIKE OPTICAL,NIKE 7173,5118001,NIKE 7173/51/BLACK,EMEA,51,BLACK,0.0,black,shiny,0.0,Optical,Nike,Sport,Nike_black_NK7173,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Cat-Eye,Full,Plastic,0,0,0,12.0
11078,KO,NIKE OPTICAL,NIKE 7173,5118001,NIKE 7173/51/BLACK,EMEA,51,BLACK,0.0,black,shiny,0.0,Optical,Nike,Sport,Nike_black_NK7173,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Cat-Eye,Full,Plastic,0,1,0,13.0
11079,KO,NIKE OPTICAL,NIKE 7173,5118001,NIKE 7173/51/BLACK,EMEA,51,BLACK,0.0,black,shiny,0.0,Optical,Nike,Sport,Nike_black_NK7173,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Cat-Eye,Full,Plastic,0,1,0,20.0
11080,KO,NIKE OPTICAL,NIKE 7173,5118001,NIKE 7173/51/BLACK,EMEA,51,BLACK,8.0,black,shiny,0.0,Optical,Nike,Sport,Nike_black_NK7173,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Cat-Eye,Full,Plastic,0,0,1,19.0
11081,KO,NIKE OPTICAL,NIKE 7173,5118001,NIKE 7173/51/BLACK,EMEA,51,BLACK,4.0,black,shiny,0.0,Optical,Nike,Sport,Nike_black_NK7173,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Cat-Eye,Full,Plastic,0,0,0,15.0
11082,KO,NIKE OPTICAL,NIKE 7173,5118001,NIKE 7173/51/BLACK,EMEA,51,BLACK,1.0,black,shiny,0.0,Optical,Nike,Sport,Nike_black_NK7173,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Cat-Eye,Full,Plastic,0,0,0,15.0
11083,KO,NIKE OPTICAL,NIKE 7173,5118001,NIKE 7173/51/BLACK,EMEA,51,BLACK,7.0,black,shiny,0.0,Optical,Nike,Sport,Nike_black_NK7173,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Cat-Eye,Full,Plastic,0,0,0,10.0
11088,KO,NIKE OPTICAL,NIKE 7176,5118029,NIKE 7176/51/CHARCOA,EMEA,51,CHARCOA,0.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK7176,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,0.0
11089,KO,NIKE OPTICAL,NIKE 7176,5118029,NIKE 7176/51/CHARCOA,EMEA,51,CHARCOA,0.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK7176,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,14.0
11090,KO,NIKE OPTICAL,NIKE 7176,5118029,NIKE 7176/51/CHARCOA,EMEA,51,CHARCOA,0.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK7176,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,44.0
11091,KO,NIKE OPTICAL,NIKE 7176,5118029,NIKE 7176/51/CHARCOA,EMEA,51,CHARCOA,0.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK7176,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,61.0
11092,KO,NIKE OPTICAL,NIKE 7176,5118029,NIKE 7176/51/CHARCOA,EMEA,51,CHARCOA,0.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK7176,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,71.0
11093,KO,NIKE OPTICAL,NIKE 7176,5118029,NIKE 7176/51/CHARCOA,EMEA,51,CHARCOA,14.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK7176,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,64.0
11094,KO,NIKE OPTICAL,NIKE 7176,5118029,NIKE 7176/51/CHARCOA,EMEA,51,CHARCOA,30.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK7176,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,67.0
11095,KO,NIKE OPTICAL,NIKE 7176,5118029,NIKE 7176/51/CHARCOA,EMEA,51,CHARCOA,17.0,grey,shiny,0.0,Optical,Nike,Sport,Nike_grey_NK7176,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,57.0
11100,KP,CALVIN KLEIN OPTICAL,CK24101,5118045,CK24101/51/SILVER,EMEA,51,SILVER,0.0,silver,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_silver_CK24101,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Round,Full,Metal,0,0,0,29.0
11101,KP,CALVIN KLEIN OPTICAL,CK24101,5118045,CK24101/51/SILVER,EMEA,51,SILVER,0.0,silver,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_silver_CK24101,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Round,Full,Metal,0,0,0,54.0
11102,KP,CALVIN KLEIN OPTICAL,CK24101,5118045,CK24101/51/SILVER,EMEA,51,SILVER,0.0,silver,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_silver_CK24101,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Round,Full,Metal,0,1,0,80.0
11103,KP,CALVIN KLEIN OPTICAL,CK24101,5118045,CK24101/51/SILVER,EMEA,51,SILVER,1.0,silver,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_silver_CK24101,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Round,Full,Metal,0,1,0,102.0
11104,KP,CALVIN KLEIN OPTICAL,CK24101,5118045,CK24101/51/SILVER,EMEA,51,SILVER,28.0,silver,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_silver_CK24101,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Round,Full,Metal,0,0,1,88.0
11105,KP,CALVIN KLEIN OPTICAL,CK24101,5118045,CK24101/51/SILVER,EMEA,51,SILVER,25.0,silver,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_silver_CK24101,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Round,Full,Metal,0,0,0,73.0
11106,KP,CALVIN KLEIN OPTICAL,CK24101,5118045,CK24101/51/SILVER,EMEA,51,SILVER,26.0,silver,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_silver_CK24101,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Round,Full,Metal,0,0,0,59.0
11107,KP,CALVIN KLEIN OPTICAL,CK24101,5118045,CK24101/51/SILVER,EMEA,51,SILVER,23.0,silver,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_silver_CK24101,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Round,Full,Metal,0,0,0,47.0
11112,KO,NIKE OPTICAL,NIKE 7173,5118239,NIKE 7173/51/DARK TO,EMEA,51,DARK TO,0.0,tortoise,shiny,0.0,Optical,Nike,Sport,Nike_tortoise_NK7173,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Cat-Eye,Full,Plastic,0,0,0,10.0
11113,KO,NIKE OPTICAL,NIKE 7173,5118239,NIKE 7173/51/DARK TO,EMEA,51,DARK TO,0.0,tortoise,shiny,0.0,Optical,Nike,Sport,Nike_tortoise_NK7173,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Cat-Eye,Full,Plastic,0,0,0,12.0
11114,KO,NIKE OPTICAL,NIKE 7173,5118239,NIKE 7173/51/DARK TO,EMEA,51,DARK TO,0.0,tortoise,shiny,0.0,Optical,Nike,Sport,Nike_tortoise_NK7173,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Cat-Eye,Full,Plastic,0,1,0,15.0
11115,KO,NIKE OPTICAL,NIKE 7173,5118239,NIKE 7173/51/DARK TO,EMEA,51,DARK TO,0.0,tortoise,shiny,0.0,Optical,Nike,Sport,Nike_tortoise_NK7173,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Cat-Eye,Full,Plastic,0,1,0,16.0
11116,KO,NIKE OPTICAL,NIKE 7173,5118239,NIKE 7173/51/DARK TO,EMEA,51,DARK TO,10.0,tortoise,shiny,0.0,Optical,Nike,Sport,Nike_tortoise_NK7173,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Cat-Eye,Full,Plastic,0,0,1,9.0
11117,KO,NIKE OPTICAL,NIKE 7173,5118239,NIKE 7173/51/DARK TO,EMEA,51,DARK TO,2.0,tortoise,shiny,0.0,Optical,Nike,Sport,Nike_tortoise_NK7173,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Cat-Eye,Full,Plastic,0,0,0,8.0
11118,KO,NIKE OPTICAL,NIKE 7173,5118239,NIKE 7173/51/DARK TO,EMEA,51,DARK TO,3.0,tortoise,shiny,0.0,Optical,Nike,Sport,Nike_tortoise_NK7173,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Cat-Eye,Full,Plastic,0,0,0,6.0
11119,KO,NIKE OPTICAL,NIKE 7173,5118239,NIKE 7173/51/DARK TO,EMEA,51,DARK TO,1.0,tortoise,shiny,0.0,Optical,Nike,Sport,Nike_tortoise_NK7173,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Cat-Eye,Full,Plastic,0,0,0,5.0
11124,KO,NIKE OPTICAL,NIKE 7176,5118275,NIKE 7176/51/MINK/CR,EMEA,51,MINK/CR,0.0,brown,shiny,1.0,Optical,Nike,Sport,Nike_brown_NK7176,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,0.0
11125,KO,NIKE OPTICAL,NIKE 7176,5118275,NIKE 7176/51/MINK/CR,EMEA,51,MINK/CR,0.0,brown,shiny,1.0,Optical,Nike,Sport,Nike_brown_NK7176,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,3.0
11126,KO,NIKE OPTICAL,NIKE 7176,5118275,NIKE 7176/51/MINK/CR,EMEA,51,MINK/CR,0.0,brown,shiny,1.0,Optical,Nike,Sport,Nike_brown_NK7176,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,5.0
11127,KO,NIKE OPTICAL,NIKE 7176,5118275,NIKE 7176/51/MINK/CR,EMEA,51,MINK/CR,0.0,brown,shiny,1.0,Optical,Nike,Sport,Nike_brown_NK7176,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,10.0
11128,KO,NIKE OPTICAL,NIKE 7176,5118275,NIKE 7176/51/MINK/CR,EMEA,51,MINK/CR,0.0,brown,shiny,1.0,Optical,Nike,Sport,Nike_brown_NK7176,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,23.0
11129,KO,NIKE OPTICAL,NIKE 7176,5118275,NIKE 7176/51/MINK/CR,EMEA,51,MINK/CR,3.0,brown,shiny,1.0,Optical,Nike,Sport,Nike_brown_NK7176,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,22.0
11130,KO,NIKE OPTICAL,NIKE 7176,5118275,NIKE 7176/51/MINK/CR,EMEA,51,MINK/CR,2.0,brown,shiny,1.0,Optical,Nike,Sport,Nike_brown_NK7176,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,23.0
11131,KO,NIKE OPTICAL,NIKE 7176,5118275,NIKE 7176/51/MINK/CR,EMEA,51,MINK/CR,5.0,brown,shiny,1.0,Optical,Nike,Sport,Nike_brown_NK7176,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,19.0
11136,KO,NIKE OPTICAL,NIKE 7173,5118317,NIKE 7173/51/OLIVE/B,EMEA,51,OLIVE/B,0.0,green,shiny,1.0,Optical,Nike,Sport,Nike_green_NK7173,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Cat-Eye,Full,Plastic,0,0,0,11.0
11137,KO,NIKE OPTICAL,NIKE 7173,5118317,NIKE 7173/51/OLIVE/B,EMEA,51,OLIVE/B,0.0,green,shiny,1.0,Optical,Nike,Sport,Nike_green_NK7173,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Cat-Eye,Full,Plastic,0,0,0,32.0
11138,KO,NIKE OPTICAL,NIKE 7173,5118317,NIKE 7173/51/OLIVE/B,EMEA,51,OLIVE/B,0.0,green,shiny,1.0,Optical,Nike,Sport,Nike_green_NK7173,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Cat-Eye,Full,Plastic,0,1,0,59.0
11139,KO,NIKE OPTICAL,NIKE 7173,5118317,NIKE 7173/51/OLIVE/B,EMEA,51,OLIVE/B,0.0,green,shiny,1.0,Optical,Nike,Sport,Nike_green_NK7173,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Cat-Eye,Full,Plastic,0,1,0,79.0
11140,KO,NIKE OPTICAL,NIKE 7173,5118317,NIKE 7173/51/OLIVE/B,EMEA,51,OLIVE/B,11.0,green,shiny,1.0,Optical,Nike,Sport,Nike_green_NK7173,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Cat-Eye,Full,Plastic,0,0,1,86.0
11141,KO,NIKE OPTICAL,NIKE 7173,5118317,NIKE 7173/51/OLIVE/B,EMEA,51,OLIVE/B,21.0,green,shiny,1.0,Optical,Nike,Sport,Nike_green_NK7173,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Cat-Eye,Full,Plastic,0,0,0,79.0
11142,KO,NIKE OPTICAL,NIKE 7173,5118317,NIKE 7173/51/OLIVE/B,EMEA,51,OLIVE/B,27.0,green,shiny,1.0,Optical,Nike,Sport,Nike_green_NK7173,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Cat-Eye,Full,Plastic,0,0,0,64.0
11143,KO,NIKE OPTICAL,NIKE 7173,5118317,NIKE 7173/51/OLIVE/B,EMEA,51,OLIVE/B,20.0,green,shiny,1.0,Optical,Nike,Sport,Nike_green_NK7173,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Cat-Eye,Full,Plastic,0,0,0,49.0
11148,KO,NIKE OPTICAL,NIKE 7176,5118557,NIKE 7176/51/LILAC B,EMEA,51,LILAC B,0.0,purple,shiny,0.0,Optical,Nike,Sport,Nike_purple_NK7176,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,0.0
11149,KO,NIKE OPTICAL,NIKE 7176,5118557,NIKE 7176/51/LILAC B,EMEA,51,LILAC B,0.0,purple,shiny,0.0,Optical,Nike,Sport,Nike_purple_NK7176,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,0.0
11150,KO,NIKE OPTICAL,NIKE 7176,5118557,NIKE 7176/51/LILAC B,EMEA,51,LILAC B,0.0,purple,shiny,0.0,Optical,Nike,Sport,Nike_purple_NK7176,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,0.0
11151,KO,NIKE OPTICAL,NIKE 7176,5118557,NIKE 7176/51/LILAC B,EMEA,51,LILAC B,0.0,purple,shiny,0.0,Optical,Nike,Sport,Nike_purple_NK7176,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,7.0
11152,KO,NIKE OPTICAL,NIKE 7176,5118557,NIKE 7176/51/LILAC B,EMEA,51,LILAC B,0.0,purple,shiny,0.0,Optical,Nike,Sport,Nike_purple_NK7176,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,9.0
11153,KO,NIKE OPTICAL,NIKE 7176,5118557,NIKE 7176/51/LILAC B,EMEA,51,LILAC B,0.0,purple,shiny,0.0,Optical,Nike,Sport,Nike_purple_NK7176,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,12.0
11154,KO,NIKE OPTICAL,NIKE 7176,5118557,NIKE 7176/51/LILAC B,EMEA,51,LILAC B,0.0,purple,shiny,0.0,Optical,Nike,Sport,Nike_purple_NK7176,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,13.0
11155,KO,NIKE OPTICAL,NIKE 7176,5118557,NIKE 7176/51/LILAC B,EMEA,51,LILAC B,7.0,purple,shiny,0.0,Optical,Nike,Sport,Nike_purple_NK7176,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,8.0
11160,KO,NIKE OPTICAL,NIKE 7176,5118689,NIKE 7176/51/BLUSH/C,EMEA,51,BLUSH/C,0.0,pink,shiny,1.0,Optical,Nike,Sport,Nike_pink_NK7176,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Rectangle,Full,Plastic,0,0,0,0.0
11161,KO,NIKE OPTICAL,NIKE 7176,5118689,NIKE 7176/51/BLUSH/C,EMEA,51,BLUSH/C,0.0,pink,shiny,1.0,Optical,Nike,Sport,Nike_pink_NK7176,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Rectangle,Full,Plastic,0,0,0,13.0
11162,KO,NIKE OPTICAL,NIKE 7176,5118689,NIKE 7176/51/BLUSH/C,EMEA,51,BLUSH/C,0.0,pink,shiny,1.0,Optical,Nike,Sport,Nike_pink_NK7176,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Rectangle,Full,Plastic,0,1,0,45.0
11163,KO,NIKE OPTICAL,NIKE 7176,5118689,NIKE 7176/51/BLUSH/C,EMEA,51,BLUSH/C,0.0,pink,shiny,1.0,Optical,Nike,Sport,Nike_pink_NK7176,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Rectangle,Full,Plastic,0,1,0,63.0
11164,KO,NIKE OPTICAL,NIKE 7176,5118689,NIKE 7176/51/BLUSH/C,EMEA,51,BLUSH/C,0.0,pink,shiny,1.0,Optical,Nike,Sport,Nike_pink_NK7176,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Rectangle,Full,Plastic,0,0,1,75.0
11165,KO,NIKE OPTICAL,NIKE 7176,5118689,NIKE 7176/51/BLUSH/C,EMEA,51,BLUSH/C,13.0,pink,shiny,1.0,Optical,Nike,Sport,Nike_pink_NK7176,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Rectangle,Full,Plastic,0,0,0,77.0
11166,KO,NIKE OPTICAL,NIKE 7176,5118689,NIKE 7176/51/BLUSH/C,EMEA,51,BLUSH/C,32.0,pink,shiny,1.0,Optical,Nike,Sport,Nike_pink_NK7176,2024-03-01,54,25,47.0,18.0,85.19%,24.00%,0,63,27,35,30,62,Rectangle,Full,Plastic,0,0,0,57.0
11167,KO,NIKE OPTICAL,NIKE 7176,5118689,NIKE 7176/51/BLUSH/C,EMEA,51,BLUSH/C,18.0,pink,shiny,1.0,Optical,Nike,Sport,Nike_pink_NK7176,2024-04-01,100,31,50.0,20.0,-55.00%,-3.23%,0,63,22,35,81,63,Rectangle,Full,Plastic,0,0,0,43.0
11172,KP,CALVIN KLEIN OPTICAL,CK24101,5118770,CK24101/51/ROSE GOLD,EMEA,51,ROSE GOLD,0.0,gold,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_gold_CK24101,2023-09-01,40,24,41.0,31.0,20.00%,-20.83%,0,65,19,35,78,60,Round,Full,Metal,0,0,0,18.0
11173,KP,CALVIN KLEIN OPTICAL,CK24101,5118770,CK24101/51/ROSE GOLD,EMEA,51,ROSE GOLD,0.0,gold,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_gold_CK24101,2023-10-01,48,19,40.0,27.0,-10.42%,0.00%,12,70,24,37,63,58,Round,Full,Metal,0,0,0,32.0
11174,KP,CALVIN KLEIN OPTICAL,CK24101,5118770,CK24101/51/ROSE GOLD,EMEA,51,ROSE GOLD,0.0,gold,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_gold_CK24101,2023-11-01,43,19,42.0,23.0,6.98%,0.00%,17,60,41,33,63,73,Round,Full,Metal,0,1,0,48.0
11175,KP,CALVIN KLEIN OPTICAL,CK24101,5118770,CK24101/51/ROSE GOLD,EMEA,51,ROSE GOLD,1.0,gold,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_gold_CK24101,2023-12-01,46,19,44.0,21.0,2.17%,-15.79%,14,90,57,32,78,93,Round,Full,Metal,0,1,0,54.0
11176,KP,CALVIN KLEIN OPTICAL,CK24101,5118770,CK24101/51/ROSE GOLD,EMEA,51,ROSE GOLD,17.0,gold,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_gold_CK24101,2024-01-01,47,16,46.0,19.0,2.13%,18.75%,20,75,35,39,67,67,Round,Full,Metal,0,0,1,43.0
11177,KP,CALVIN KLEIN OPTICAL,CK24101,5118770,CK24101/51/ROSE GOLD,EMEA,51,ROSE GOLD,14.0,gold,shiny,0.0,Optical,Calvin Klein,Premium,Calvin Klein_gold_CK24101,2024-02-01,48,19,45.0,18.0,12.50%,31.58%,0,80,28,40,85,66,Round,Full,Metal,0,0,0,31.0
